[2026-04-08 18:07:23] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-53d46b65-581a-4a0f-8fd0-20d5b25fd90d | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 18:07:29] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-6a55b03d-c799-4254-9a6e-ae8f157dfa74 | action=VIEW_PROFILE | target=TA2024002 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 18:15:26] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-5df4fa3d-f907-4369-acf0-ff9c8fb6ae22 | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 18:23:28] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-4551db6e-b54d-434a-ae09-6d550ef01ba9 | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 19:19:23] actor=admin | operatorId=op-admin | terminalId=11965@小1 | requestId=req-fabf595d-b75c-4301-a937-48c3224a6db1 | action=VIEW_PROFILE | target=TA2024003 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 19:26:34] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-8dfc604b-45be-4537-8884-ce8b50442105 | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 19:26:40] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-c2d861d0-0fd8-4057-a64e-760edb0913d6 | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 19:27:55] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-38bbe08a-0324-408c-92ce-284b485980db | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 19:31:10] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-5e8ebbd0-ed02-40fc-ae9f-23026fbfb823 | action=VIEW_PROFILE | target=TA2024003 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 19:31:21] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-021a0e29-dd1f-4005-a289-89dd8363456e | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 19:31:48] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-bf8e93b1-5687-48d0-b1a2-f46cdceb926c | action=EXPORT_CSV | target=WORKLOAD | detail=Exported rows=3 | before=- | after=- | diff=-
[2026-04-08 19:32:24] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-88bf60fa-56c9-4ef7-8669-417e7e821da0 | action=EXPORT_CSV | target=WORKLOAD | detail=Exported rows=3 | before=- | after=- | diff=-
[2026-04-08 19:44:59] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-79e7cb63-ff62-4015-ba92-abc9f4c36b2e | action=VIEW_PROFILE | target=TA2024003 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 20:30:05] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-d5dfb5f9-41ef-498f-9bc7-3f7c25d348c0 | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 20:33:45] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-f098aaaf-60cf-4a84-815f-82a5c15d4d55 | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 20:36:26] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-f7c013d4-e5bd-4501-a31e-3b53dfee62f8 | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 20:36:41] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-1493444f-be56-4dda-b4f6-b3a6fa8b6774 | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 20:36:54] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-a509f2ce-3d2c-4a0b-a793-388de80c8ebf | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 20:37:18] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-4ef9c266-358b-45a9-98dc-0e3a1b6c1c63 | action=VIEW_PROFILE | target=TA2024003 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 20:43:32] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-49aecd2f-a8c5-4149-800e-c3c469e5909f | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
[2026-04-08 20:58:35] actor=admin | operatorId=op-admin | terminalId=32812@Asuka | requestId=req-06ad39cc-8727-42c0-a85c-4a5e0375c2eb | action=VIEW_PROFILE | target=TA2024001 | detail=Open detail page | before=- | after=- | diff=-
